happiness,survey_type,province,city,county,gender,birth,nationality,religion,religion_freq,edu,edu_status,edu_yr,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,weekday,year,quarter,hour,month,hour_cut,birth_s,income_cut,properties,insurs,invests
4,1,12,32,59,1,1959,1,1,1,11,4.0,-2.0,20000,1,45.0,0,1,0,0,0,0,0,0,0,176,155,3,2,5,5,2.0,4,2,5,5,4,3,1,4,3,1,2,3,4,1,4,5,4,1,2,4,3,3.0,3.0,2,3,3,3,3,1,1,3.0,30.0,1.0,2.0,1,1,1,2,60000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1984.0,1958.0,1984.0,6.0,1.0,5.0,40000.0,5.0,0.0,0.0,-2,4,4,1,-2,4,1,1,3,2,4,3,50000.0,4,2,-8,-8,5,3,2,3,4,3,-8,4,1,4,50,60,50,50,30.0,30,50,50,50,1,2015,3,14,8,4,3,3,1,9,1
4,2,18,52,85,1,1992,1,1,1,12,4.0,2013.0,20000,1,110.0,0,0,0,0,1,0,0,0,0,170,110,5,4,3,1,1.0,2,2,1,3,5,1,2,3,4,3,5,4,3,2,3,4,5,1,2,4,3,6.0,2.0,1,3,6,4,8,5,1,3.0,2.0,1.0,3.0,1,1,1,1,40000.0,3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972,3,1,2,1973,3,1,2,1,1,4,2,50000.0,5,4,4,3,5,3,3,3,2,3,3,3,2,3,90,70,70,80,85.0,70,90,60,60,1,2015,3,15,7,4,7,3,16,0,1
4,2,29,83,126,2,1967,1,0,3,4,4.0,-2.0,2000,1,120.0,0,1,1,0,0,0,0,0,0,160,122,4,4,5,1,1.0,2,2,2,5,1,3,1,4,4,3,5,4,4,2,3,5,5,5,3,4,2,2.0,5.0,2,4,5,4,6,3,2,0.0,0.0,0.0,0.0,1,1,2,2,8000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,0,2,1.0,3,1990.0,1968.0,1990.0,3.0,1.0,1.0,6000.0,3.0,0.0,0.0,-2,1,1,2,-2,1,1,2,2,1,4,2,80000.0,3,3,3,3,4,3,3,3,3,3,-8,3,1,4,90,80,75,79,80.0,90,90,90,75,1,2015,3,13,7,3,4,2,5,13,1
5,2,10,28,51,2,1943,1,1,1,3,4.0,1959.0,6420,1,78.0,0,0,0,1,0,0,0,0,0,163,170,4,4,4,1,2.0,2,1,1,5,1,1,1,5,2,4,5,4,5,1,1,5,5,5,2,4,4,1.0,6.0,1,4,5,5,7,2,4,0.0,0.0,0.0,0.0,2,2,2,2,12000.0,3,3,1,1,0,1,0,0,0,0,0,0,0,1,4,0.0,7,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,14,1,2,-2,1,1,2,2,1,3,2,10000.0,3,3,4,3,5,3,3,5,4,3,3,3,2,3,100,90,70,80,80.0,90,90,80,80,5,2015,3,17,7,4,2,2,9,14,1
4,1,7,18,36,2,1994,1,1,1,12,1.0,2014.0,-1,2,70.0,0,0,0,0,1,0,0,0,0,165,110,5,5,3,2,3.0,1,3,4,2,5,5,3,3,3,2,4,4,3,5,2,5,5,1,4,3,4,7.0,5.0,3,2,1,1,1,4,6,0.0,0.0,0.0,0.0,1,2,2,2,-2.0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970,6,1,10,1972,4,1,15,3,2,3,-8,200000.0,4,3,3,3,5,5,3,4,3,3,3,3,2,2,50,50,50,50,50.0,50,50,50,50,0,2015,3,9,8,2,7,0,16,14,1
5,2,18,52,86,1,1946,1,1,1,2,5.0,-2.0,5000,1,300.0,0,1,1,0,0,0,0,0,0,172,140,5,5,4,1,1.0,1,1,4,4,1,1,1,5,4,5,5,4,4,4,3,5,3,5,3,3,2,3.0,4.0,1,4,8,1,8,1,4,0.0,0.0,0.0,0.0,1,1,2,2,5000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,2,1,0.0,3,1988.0,1949.0,1988.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,-2,2,1,2,1917,1,1,2,3,1,4,3,10000.0,4,3,4,3,5,4,3,3,4,3,3,3,3,4,90,90,90,90,90.0,90,80,90,90,5,2015,3,12,7,3,2,2,5,13,1
4,1,10,27,49,1,1963,1,1,1,4,4.0,1979.0,-3,4,89.0,0,1,0,0,0,0,0,0,0,160,120,2,2,2,2,2.0,2,2,2,5,1,2,1,5,5,5,5,4,4,4,4,4,4,5,1,3,1,8.0,8.0,1,4,2,2,3,2,1,3.0,30.0,1.0,3.0,1,1,2,2,-3.0,3,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1987.0,1963.0,1987.0,4.0,1.0,2.0,-3.0,1.0,3.0,1.0,1920,3,1,1,1905,1,1,15,3,2,4,3,50000.0,4,3,4,4,4,3,3,3,4,3,3,3,3,4,80,80,50,70,60.0,50,60,80,80,6,2015,3,14,7,4,4,0,1,13,1
4,1,11,31,54,1,1959,1,0,8,4,4.0,-2.0,-1,1,130.0,0,0,1,0,0,0,0,0,0,176,140,3,5,5,2,1.0,3,1,3,4,1,1,1,5,5,3,5,4,4,5,4,4,5,5,3,3,3,4.0,3.0,1,4,2,1,2,1,5,0.0,0.0,0.0,0.0,1,1,2,2,-1.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1979.0,1959.0,1979.0,4.0,1.0,2.0,-1.0,4.0,0.0,0.0,-2,1,1,2,-2,1,1,-8,2,2,4,-8,-2.0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,70,70,70,70,70.0,70,80,70,70,6,2015,3,13,7,3,3,0,4,13,1
4,2,28,81,122,1,1952,1,1,1,3,4.0,1964.0,1600,1,36.0,0,1,0,0,0,0,0,0,0,175,95,2,2,2,1,1.0,1,1,1,3,1,1,2,5,4,5,5,4,4,5,4,5,5,5,2,2,1,5.0,6.0,2,4,3,3,5,2,2,0.0,0.0,0.0,0.0,1,1,2,2,1600.0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924,1,1,2,1926,1,1,2,3,2,3,3,5000.0,3,2,2,4,5,5,5,2,4,4,4,4,2,5,82,70,60,82,84.0,85,86,87,85,5,2015,3,9,8,2,3,2,1,13,1
4,2,24,70,110,1,1985,1,1,1,3,2.0,-2.0,60000,1,80.0,0,0,0,0,1,0,0,0,0,172,140,4,5,4,1,1.0,1,1,1,4,4,1,1,5,3,5,5,3,4,5,5,5,5,1,3,3,2,5.0,5.0,6,4,5,5,6,3,5,0.0,0.0,0.0,0.0,1,2,2,2,60000.0,5,3,1,1,0,1,0,0,0,0,0,0,0,0,2,2.0,3,2011.0,1991.0,2011.0,7.0,1.0,1.0,0.0,5.0,0.0,0.0,1952,14,1,2,1962,1,1,2,2,2,3,2,120000.0,4,3,4,3,3,3,3,4,3,3,-8,3,2,5,60,60,60,60,60.0,60,60,60,60,0,2015,3,19,8,5,6,5,16,14,1
4,1,6,15,31,2,1988,1,1,1,6,4.0,2008.0,24000,1,200.0,0,1,1,0,0,0,0,0,0,165,100,4,4,5,1,2.0,2,1,1,5,5,1,1,3,3,4,4,4,3,3,4,5,5,1,3,3,1,2.0,3.0,2,4,4,3,4,3,5,0.0,0.0,0.0,0.0,2,1,2,2,60000.0,5,3,1,2,0,1,0,0,0,0,0,0,0,0,2,2.0,3,2014.0,1989.0,2014.0,5.0,1.0,1.0,36000.0,1.0,3.0,1.0,1968,1,1,2,1968,1,1,2,2,2,4,2,50000.0,3,4,4,4,4,4,3,4,5,5,-8,4,3,4,78,80,80,80,80.0,79,81,80,80,6,2015,3,19,8,5,6,6,5,13,1
4,2,23,69,109,1,1968,1,0,3,1,5.0,-2.0,8000,1,199.0,0,1,1,1,0,0,0,0,0,173,120,4,2,2,1,1.0,1,1,5,5,1,2,1,4,2,5,5,5,5,5,5,4,4,5,4,4,1,5.0,5.0,1,2,6,6,7,5,4,0.0,0.0,0.0,0.0,1,2,2,2,16500.0,3,3,3,2,0,1,0,0,0,0,0,0,0,0,2,1.0,3,1990.0,1970.0,1990.0,1.0,1.0,1.0,8000.0,4.0,0.0,0.0,1945,10,1,2,1948,1,1,2,3,1,4,2,40000.0,5,5,5,3,5,4,3,3,3,3,3,3,1,5,100,20,60,70,60.0,80,62,52,75,2,2015,3,19,9,5,4,2,14,14,1
4,1,21,64,100,1,1964,1,1,3,10,4.0,1984.0,36000,4,80.0,0,1,1,0,0,1,0,0,0,171,120,4,5,4,2,1.0,4,3,2,4,4,1,1,5,4,1,5,4,4,3,1,5,5,1,2,3,3,5.0,5.0,1,3,4,4,5,4,1,3.0,35.0,1.0,3.0,1,1,2,2,36000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0.0,3,1990.0,1967.0,1990.0,7.0,1.0,2.0,0.0,5.0,0.0,0.0,1928,3,4,1,1936,1,1,1,2,1,5,2,50000.0,2,3,-8,-8,4,3,2,3,3,4,-8,-8,1,4,80,80,70,70,70.0,70,70,70,60,5,2015,3,9,7,2,4,4,30,13,1
